id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,,0,7111689,5,1712028934,Jupiter Evans,1711904830
,Cực kì hài lòng,,0,1900406,5,1711361624,Le quang vinh,1711118188
,Cực kì hài lòng,,0,7111689,5,1712028934,Jupiter Evans,1711904830
,Cực kì hài lòng,,0,1900406,5,1711361624,Le quang vinh,1711118188
,Cực kì hài lòng,"Lần đầu dùng hàng cao cấp của Samsung và cũng là lần đầu mua đồ giá trị lớn trên Tiki. Mọi thứ đều rất tốt. Mình rất hài lòng.

Thông tin thêm cho các bạn là đơn hàng không có ốp đi kèm nên các bạn nên sắm cùng khi mua điện thoại nhé.",0,663876,5,1709743513,Nguyễn Văn Thời,1709427498
,Cực kì hài lòng,Nhận hàng nguyên seal và nhanh,0,5542885,5,1710312741,Thong tong,1710300130
,Cực kì hài lòng,,1,2123020,5,1713153329,Hong Duc Nguyen Huu,1712200053
,Cực kì hài lòng,"Lần đầu dùng hàng cao cấp của Samsung và cũng là lần đầu mua đồ giá trị lớn trên Tiki. Mọi thứ đều rất tốt. Mình rất hài lòng.

Thông tin thêm cho các bạn là đơn hàng không có ốp đi kèm nên các bạn nên sắm cùng khi mua điện thoại nhé.",0,663876,5,1709743513,Nguyễn Văn Thời,1709427498
,Cực kì hài lòng,Nhận hàng nguyên seal và nhanh,0,5542885,5,1710312741,Thong tong,1710300130
,Cực kì hài lòng,,1,2123020,5,1713153329,Hong Duc Nguyen Huu,1712200053
,Cực kì hài lòng,"Hình ảnh xoay ngang đọc chữ to hơn, nhưng phần nội dung 1 trang sẽ chia thành 2 phần, phải nhấp 2 lần mới hết trang. Xoay dọc thì chữ đầy một trang sách nhưng đổi lại chữ khá nhỏ. Tốc độ phản hồi thì có phần chậm, ai xài MTB quen rồi thì sử dụng kindle phải làm quen với độ nhạy chuyển hình chậm này. Đăng nhập và chuyển tải file qua máy khá nhanh, đọc ban đêm rất ổn, dùng chung với bao da thì máy sẽ nặng hơn 1 tí, còn ko có bao thì siêu nhẹ, ko sợ mỏi tay khi cầm lâu.",2,183920,5,1708605945,Thái Ngọc Thắng,1706349250
,Cực kì hài lòng,"Quá ưng luôn. 
Nỗi đau khổ khi bị mất con kindle ppw4 đã mau chóng bay vèo khi nhận được em ppw5. 
Màn hình màu ấm rất tuyệt vời, máy màu denim cũng rất đẹp và sang. 
Shop gửi tặng cái ốp da màu Denim nữa, đỉnh  ghê. Cám ơn shop tinh tế",2,1054513,5,1702472967,Amy Nguyen,1702273542
,Hài lòng,Rõ ràng mua Green mà gửi Denim về cho tui nhá. Ko thèm hoàn đơn nữa vì đã chờ con máy mấy ngày liền rồi. Buồn ghê luôn. Màu ko đc như ý. Nhg ko chấp với shop nheng. Máy xịn xò ko lỗi lầm gì đọc sáng cái con mắt. Cho 4* thui vì cố ts gửi màu khác. Chắc màu green hết rồi chứ gì. Tui bit ngay các shop khác cũng ko còn.,0,1508657,4,1698816745,Đoàn Hằng,1698420034
,Cực kì hài lòng,Tiki giao hàng khá nhanh. Máy thì lần đầu mình dùng phải để lâu lâu mới đánh giá được máy có tốt hay không. Nhưng nhìn quả giao diện khá đẹp mắt và chất lượng. Hy vọng với việc chi gần 4 củ này mình sẽ chăm chỉ đọc sách hơn thay vì ngồi lướt web.,0,5795878,5,1698998030,Cao Kiến Trung,1698889756
,Cực kì hài lòng,"Máy gọn nhẹ, shop cho bản kid không quảng cáo và thêm bao da rất đẹp, đời này cùng cổng sạc C nên rất tiện. Máy đọc rất thích đặc biệt là ngồi bus đi làm. Hai hôm nay không còn dùng điện thoại trước khi ngủ nữa mà là ôm em này. Sẽ cố gắng thay thế thói quen xấu từ lướt điện thoại trước khi ngủ sang đọc sách trước khi ngủ.",33,392927,5,1655300672,Nguyễn Văn Phương,1655020677
,Hài lòng,"Hàng tốt, đúng mô tả, quà tặng đầy đủ. Đây là lần đầu tiên mình sử dụng kindle trải nghiệm quá tuyệt khi mình có thể vừa nằm trên giường vừa đọc được sách, shop cũng tặng cho một cái bao da nữa, mình trừ 1 sao vì bên ship chậm mất một ngày.",0,25647380,4,1661503977,Kiên Trung,1661059604
,Cực kì hài lòng,"Sản phẩm được rao là tặng kèm bao da, nhưng thực tế ship đến không có. Sau khi phản hồi thì shop đã xử lý nhanh chóng. Đánh giá lại vì thái độ phục vụ tốt của shop. Về sản phẩm Kindle thì hoàn toàn hài lòng.",0,1023256,5,1701009367,Vũ Kiều Anh,1700837477
,Cực kì hài lòng,"Rất tuyệt. Có điều nếu dùng cả bao thì hơi to, cầm 1 tay đọc sẽ bị mỏi.
Hình ảnh sắc nét, góc nhìn rộng. Dark mode rất tuyệt.",2,2134612,5,1682173397,Nguyen Chien Thang,1681894377
,Cực kì hài lòng,"Đúng như nhà sản xuất thông báo về sản phẩm. Shop bán hàng rất nhiệt tình, giao hàng nhanh chóng. Mới mua và dùng cảm nhận pin chắc không được 10 tuần (vì mình và mọi người thay nhau đọc sách cả ngày, chắc phải mua thêm cái nữa),",0,7479266,5,1711116604,Lê Đức Thông,1710841231
,Cực kì hài lòng,"Máy nhẹ, cầm nắm chắc tay, đỡ mỏi tay hơn khi cầm sách 

Màn hình đem lại trải nghiệm như đọc sách giấy

Dịch vụ bán hàng tốt, giá cả và ưu đãi cạnh tranh",0,1725562,5,1690952902,Bội Mẫn,1690592467
,Cực kì hài lòng,"Hình ảnh xoay ngang đọc chữ to hơn, nhưng phần nội dung 1 trang sẽ chia thành 2 phần, phải nhấp 2 lần mới hết trang. Xoay dọc thì chữ đầy một trang sách nhưng đổi lại chữ khá nhỏ. Tốc độ phản hồi thì có phần chậm, ai xài MTB quen rồi thì sử dụng kindle phải làm quen với độ nhạy chuyển hình chậm này. Đăng nhập và chuyển tải file qua máy khá nhanh, đọc ban đêm rất ổn, dùng chung với bao da thì máy sẽ nặng hơn 1 tí, còn ko có bao thì siêu nhẹ, ko sợ mỏi tay khi cầm lâu.",2,183920,5,1708605945,Thái Ngọc Thắng,1706349250
,Cực kì hài lòng,"Quá ưng luôn. 
Nỗi đau khổ khi bị mất con kindle ppw4 đã mau chóng bay vèo khi nhận được em ppw5. 
Màn hình màu ấm rất tuyệt vời, máy màu denim cũng rất đẹp và sang. 
Shop gửi tặng cái ốp da màu Denim nữa, đỉnh  ghê. Cám ơn shop tinh tế",2,1054513,5,1702472967,Amy Nguyen,1702273542
,Hài lòng,Rõ ràng mua Green mà gửi Denim về cho tui nhá. Ko thèm hoàn đơn nữa vì đã chờ con máy mấy ngày liền rồi. Buồn ghê luôn. Màu ko đc như ý. Nhg ko chấp với shop nheng. Máy xịn xò ko lỗi lầm gì đọc sáng cái con mắt. Cho 4* thui vì cố ts gửi màu khác. Chắc màu green hết rồi chứ gì. Tui bit ngay các shop khác cũng ko còn.,0,1508657,4,1698816745,Đoàn Hằng,1698420034
,Cực kì hài lòng,Tiki giao hàng khá nhanh. Máy thì lần đầu mình dùng phải để lâu lâu mới đánh giá được máy có tốt hay không. Nhưng nhìn quả giao diện khá đẹp mắt và chất lượng. Hy vọng với việc chi gần 4 củ này mình sẽ chăm chỉ đọc sách hơn thay vì ngồi lướt web.,0,5795878,5,1698998030,Cao Kiến Trung,1698889756
,Cực kì hài lòng,"Máy gọn nhẹ, shop cho bản kid không quảng cáo và thêm bao da rất đẹp, đời này cùng cổng sạc C nên rất tiện. Máy đọc rất thích đặc biệt là ngồi bus đi làm. Hai hôm nay không còn dùng điện thoại trước khi ngủ nữa mà là ôm em này. Sẽ cố gắng thay thế thói quen xấu từ lướt điện thoại trước khi ngủ sang đọc sách trước khi ngủ.",33,392927,5,1655300672,Nguyễn Văn Phương,1655020677
,Hài lòng,"Hàng tốt, đúng mô tả, quà tặng đầy đủ. Đây là lần đầu tiên mình sử dụng kindle trải nghiệm quá tuyệt khi mình có thể vừa nằm trên giường vừa đọc được sách, shop cũng tặng cho một cái bao da nữa, mình trừ 1 sao vì bên ship chậm mất một ngày.",0,25647380,4,1661503977,Kiên Trung,1661059604
,Cực kì hài lòng,"Sản phẩm được rao là tặng kèm bao da, nhưng thực tế ship đến không có. Sau khi phản hồi thì shop đã xử lý nhanh chóng. Đánh giá lại vì thái độ phục vụ tốt của shop. Về sản phẩm Kindle thì hoàn toàn hài lòng.",0,1023256,5,1701009367,Vũ Kiều Anh,1700837477
,Cực kì hài lòng,"Rất tuyệt. Có điều nếu dùng cả bao thì hơi to, cầm 1 tay đọc sẽ bị mỏi.
Hình ảnh sắc nét, góc nhìn rộng. Dark mode rất tuyệt.",2,2134612,5,1682173397,Nguyen Chien Thang,1681894377
,Cực kì hài lòng,"Đúng như nhà sản xuất thông báo về sản phẩm. Shop bán hàng rất nhiệt tình, giao hàng nhanh chóng. Mới mua và dùng cảm nhận pin chắc không được 10 tuần (vì mình và mọi người thay nhau đọc sách cả ngày, chắc phải mua thêm cái nữa),",0,7479266,5,1711116604,Lê Đức Thông,1710841231
