Title,Cast
The Idea of You,"Anne Hathaway, Nicholas Galitzine, Ella Rubin, Annie Mumolo"
Kingdom of the Planet of the Apes,"Owen Teague, Freya Allan, Kevin Durand, Peter Macon"
Unfrosted,"Isaac Bae, Jerry Seinfeld, Chris Rickett, Rachael Harris"
The Fall Guy,"Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham"
Challengers,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling"
Abigail,"Tyler Gillett, Melissa Barrera, Dan Stevens, Alisha Weir, William Catlett"
Civil War,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Nick Offerman"
Anyone But You,"Sydney Sweeney, Glen Powell, Alexandra Shipp, Mia Artemis"
The Ministry of Ungentlemanly Warfare,"Henry Cavill, Alan Ritchson, Alex Pettyfer, Eiza González"
Dune: Part Two,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem"
Furiosa: A Mad Max Saga,"Anya Taylor-Joy, Chris Hemsworth, Charlee Fraser, Lachy Hulme"
Gojira -1.0,"Minami Hamabe, Ryunosuke Kamiki, Sakura Andô, Rikako Miura"
Ghostbusters: Frozen Empire,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace"
Love Lies Bleeding,"Anna Baryshnikov, Kristen Stewart, Dave Franco, Katy O'Brian"
The Judge,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton"
Late Night with the Devil,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi"
War for the Planet of the Apes,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
Monkey Man,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik"
Tarot,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater"
Godzilla x Kong: The New Empire,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle"
Poor Things,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef"
Arcadian,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall"
Bullet Train,"Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry"
Star Wars: Episode I - The Phantom Menace,"Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd"
Turtles All the Way Down,"Isabela Merced, Cree, Judy Reyes, Felix Mallard"
Rise of the Planet of the Apes,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval"
Oppenheimer,"Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr."
Planet of the Apes,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan"
Dawn of the Planet of the Apes,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee"
The Iron Claw,"Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney"
Back to Black,"Marisa Abela, Eddie Marsan, Jack O'Connell, Lesley Manville"
The Beekeeper,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson"
Road House,"Jake Gyllenhaal, Daniela Melchior, Conor McGregor, Billy Magnussen"
Argylle,"Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston"
Miller's Girl,"Martin Freeman, Jenna Ortega, Bashir Salahuddin, Gideon Adlon"
Dune,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac"
Barbarian,"Georgina Campbell, Bill Skarsgård, Justin Long, Matthew Patrick Davis"
The Holdovers,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston"
Mad Max: Fury Road,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
Rebel Moon - Part Two: The Scargiver,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman"
The Gentlemen,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
Kung Fu Panda 4,"Stephanie Stine, Jack Black, Awkwafina, Viola Davis, Dustin Hoffman"
The Zone of Interest,"Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte"
The Godfather,"Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Immaculate,"Sydney Sweeney, Álvaro Morte, Simona Tabasco, Benedetta Porcaroli"
Planet of the Apes,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans"
Barbie,"Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon"
Titanic,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
In the Land of Saints & Sinners,"Kerry Condon, Desmond Eastwood, Conor MacNeill, Seamus O'Hara"
Where the Crawdads Sing,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn"
Unsung Hero,"Joel Smallbone, Daisy Betts, Joel Smallbone, Kirrilee Berger, Jonathan Jackson"
Rebel Moon - Part One: A Child of Fire,"Sofia Boutella, Djimon Hounsou, Ed Skrein, Michiel Huisman"
Purple Hearts,"Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim"
Arthur the King,"Mark Wahlberg, Simu Liu, Juliet Rylance, Nathalie Emmanuel"
X,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi"
"Red, White & Royal Blue","Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave"
The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
Boy Kills World,"Bill Skarsgård, Jessica Rothe, Michelle Dockery, Brett Gelman"
Twister,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz"
Madame Web,"Dakota Johnson, Sydney Sweeney, Isabela Merced, Celeste O'Connor"
Anatomie d'une chute,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz"
Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Star Wars,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Saltburn,"Barry Keoghan, Jacob Elordi, Rosamund Pike, Richard E. Grant"
Once Upon a Time in... Hollywood,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
Dark Waters,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman"
Land of Bad,"Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle"
Wish,"Fawn Veerasunthorn, Ariana DeBose, Chris Pine, Alan Tudyk, Angelique Cabral"
The Equalizer 3,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman"
Force of Nature: The Dry 2,"Eric Bana, Anna Torv, Deborra-Lee Furness, Robin McLeavy"
Perfect Days,"Koji Yakusho, Tokio Emoto, Arisa Nakano, Miyako Tanaka"
The Lord of the Rings: The Fellowship of the Ring,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Love,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
Top Gun: Maverick,"Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer"
All of Us Strangers,"Andrew Scott, Paul Mescal, Carter John Grout, Jamie Bell"
I Saw the TV Glow,"Justice Smith, Brigette Lundy-Paine, Ian Foreman, Helena Howard"
Killers of the Flower Moon,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons"
The First Omen,"Nell Tiger Free, Ralph Ineson, Sonia Braga, Tawfeek Barhom"
Gladiator,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Wonka,"Timothée Chalamet, Gustave Die, Murray McArthur, Paul G. Raymond"
Damsel,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter"
The Equalizer,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Pulp Fiction,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
The Peanut Butter Falcon,"Michael Schwartz, Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern"
Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Migration,"Guylo Homsy, Kumail Nanjiani, Tresi Gazal, Elizabeth Banks, Caspar Jennings"
Harry Potter and the Sorcerer's Stone,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
The Talented Mr. Ripley,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett"
The Black Phone,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies"
Ghostbusters: Afterlife,"Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace"
Ghostbusters,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
Leave the World Behind,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la"
Grease,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
The Lord of the Rings: The Return of the King,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
The Great Wall,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau"
The Last Stop in Yuma County,"Jim Cummings, Faizon Love, Jocelin Donahue, Michael Abbott Jr."
No Hard Feelings,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick"
The Hunger Games: The Ballad of Songbirds & Snakes,"Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell"
Blended,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
Schindler's List,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
Old,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff"
The Mummy,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
The Matrix,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Forrest Gump,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
Poolman,"Chris Pine, Jennifer Jason Leigh, Danny DeVito, Annette Bening"
Star Wars: Episode II - Attack of the Clones,"Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee"
The Bikeriders,"Jodie Comer, Austin Butler, Tom Hardy, Michael Shannon"
Hit Man,"Glen Powell, Adria Arjona, Retta, Austin Amelio"
The Wolf of Wall Street,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Starship Troopers,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey"
Sleeping Dogs,"Russell Crowe, Karen Gillan, Marton Csokas, Tommy Flanagan"
Bottoms,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu"
Troy,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover"
The Batman,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
Blade Runner 2049,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
Talk to Me,"Michael Philippou, Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce, Sarah Brokensha"
Dune,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino"
Deadpool,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
The Hunger Games,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci"
Dream Scenario,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement"
Alien,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
American Fiction,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander"
Humane,"Jay Baruchel, Emily Hampshire, Peter Gallagher, Enrico Colantoni"
Mad Max,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley"
The 40 Year Old Virgin,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco"
Kingdom of Heaven,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock"
Fight Club,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
The Green Mile,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
The Crow,"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson"
Eileen,"Thomasin McKenzie, Shea Whigham, Sam Nivola, Siobhan Fallon Hogan"
Mean Girls,"Arturo Perez Jr., Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey"
Star Wars: Episode IX - The Rise of Skywalker,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
Mission: Impossible - Dead Reckoning Part One,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg"
Cabrini,"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini"
Mission: Impossible,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny"
Wicked Little Letters,"Jessie Buckley, Olivia Colman, Timothy Spall, Gemma Jones"
Deadpool 2,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison"
Sixteen Candles,"Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling"
Past Lives,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah"
Animal,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna"
Inglourious Basterds,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
Star Wars: Episode III - Revenge of the Sith,"Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson"
Star Wars: Episode VI - Return of the Jedi,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Ricky Stanicky,"Zac Efron, John Cena, Andrew Santino, Riley Stiles"
Star Wars: Episode V - The Empire Strikes Back,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Idiocracy,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews"
Pearl,"Mia Goth, David Corenswet, Tandi Wright, Matthew Sunderland"
Gisaengchung,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
John Wick: Chapter 4,"Keanu Reeves, Laurence Fishburne, George Georgiou, Lance Reddick"
Split,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula"
Founders Day,"Naomi Grace, Devin Druid, William Russ, Amy Hargreaves"
Napoleon,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim, Rupert Everett"
Everything Everywhere All at Once,"Daniel Scheinert, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan"
Van Helsing,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, Shuler Hensley"
The Lord of the Rings: The Two Towers,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine"
Midsommar,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
Spider-Man: Across the Spider-Verse,"Kemp Powers, Justin K. Thompson, Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
Aquaman and the Lost Kingdom,"Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Amber Heard"
Triangle of Sadness,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos"
Rogue One,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
American Beauty,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
