Title,Actor_id
The Idea of You,1440
The Idea of You,7629
The Idea of You,3322
The Idea of You,7757
Kingdom of the Planet of the Apes,4158
Kingdom of the Planet of the Apes,5483
Kingdom of the Planet of the Apes,257
Kingdom of the Planet of the Apes,3066
Unfrosted,3304
Unfrosted,5222
Unfrosted,9050
Unfrosted,5353
The Fall Guy,7574
The Fall Guy,844
The Fall Guy,1723
The Fall Guy,895
Challengers,3484
Challengers,8082
Challengers,3300
Challengers,6843
Abigail,8092
Abigail,6873
Abigail,716
Abigail,3802
Abigail,8629
Civil War,3156
Civil War,3129
Civil War,576
Civil War,4595
Anyone But You,234
Anyone But You,1755
Anyone But You,4080
Anyone But You,6200
The Ministry of Ungentlemanly Warfare,1534
The Ministry of Ungentlemanly Warfare,4698
The Ministry of Ungentlemanly Warfare,7172
The Ministry of Ungentlemanly Warfare,6445
Dune: Part Two,4058
Dune: Part Two,3484
Dune: Part Two,7240
Dune: Part Two,5969
Furiosa: A Mad Max Saga,1045
Furiosa: A Mad Max Saga,2827
Furiosa: A Mad Max Saga,7946
Furiosa: A Mad Max Saga,8883
Gojira -1.0,8526
Gojira -1.0,3194
Gojira -1.0,3925
Gojira -1.0,4024
Ghostbusters: Frozen Empire,3724
Ghostbusters: Frozen Empire,1481
Ghostbusters: Frozen Empire,8172
Ghostbusters: Frozen Empire,1225
Love Lies Bleeding,6249
Love Lies Bleeding,1317
Love Lies Bleeding,5245
Love Lies Bleeding,8938
The Judge,9404
The Judge,2337
The Judge,985
The Judge,571
Late Night with the Devil,7933
Late Night with the Devil,4963
Late Night with the Devil,8129
Late Night with the Devil,2174
Late Night with the Devil,4579
War for the Planet of the Apes,3542
War for the Planet of the Apes,4609
War for the Planet of the Apes,3429
War for the Planet of the Apes,7526
Monkey Man,986
Monkey Man,1520
Monkey Man,8936
Monkey Man,4516
Tarot,8922
Tarot,3231
Tarot,6575
Tarot,589
Tarot,5031
Godzilla x Kong: The New Empire,3036
Godzilla x Kong: The New Empire,7404
Godzilla x Kong: The New Empire,716
Godzilla x Kong: The New Empire,6436
Poor Things,1973
Poor Things,4387
Poor Things,963
Poor Things,95
Arcadian,1367
Arcadian,23
Arcadian,2783
Arcadian,2304
Bullet Train,1920
Bullet Train,5281
Bullet Train,1723
Bullet Train,7404
Star Wars: Episode I - The Phantom Menace,8669
Star Wars: Episode I - The Phantom Menace,1259
Star Wars: Episode I - The Phantom Menace,4731
Star Wars: Episode I - The Phantom Menace,8940
Turtles All the Way Down,5073
Turtles All the Way Down,7227
Turtles All the Way Down,8352
Turtles All the Way Down,4894
Rise of the Planet of the Apes,2245
Rise of the Planet of the Apes,3542
Rise of the Planet of the Apes,2935
Rise of the Planet of the Apes,7526
Oppenheimer,131
Oppenheimer,844
Oppenheimer,2459
Oppenheimer,9404
Planet of the Apes,3905
Planet of the Apes,1062
Planet of the Apes,5578
Planet of the Apes,9289
Dawn of the Planet of the Apes,139
Dawn of the Planet of the Apes,6982
Dawn of the Planet of the Apes,3542
Dawn of the Planet of the Apes,4607
The Iron Claw,6364
The Iron Claw,9316
The Iron Claw,648
The Iron Claw,3270
Back to Black,6769
Back to Black,568
Back to Black,4712
Back to Black,6389
The Beekeeper,4181
The Beekeeper,817
The Beekeeper,5795
The Beekeeper,1616
Road House,7710
Road House,8612
Road House,8566
Road House,2637
Argylle,1534
Argylle,2108
Argylle,5507
Argylle,211
Miller's Girl,188
Miller's Girl,1742
Miller's Girl,3902
Miller's Girl,2784
Dune,4058
Dune,7240
Dune,3484
Dune,6623
Barbarian,1739
Barbarian,8382
Barbarian,3311
Barbarian,5966
The Holdovers,865
The Holdovers,1369
The Holdovers,410
The Holdovers,629
Mad Max: Fury Road,5965
Mad Max: Fury Road,1810
Mad Max: Fury Road,1209
Mad Max: Fury Road,4132
Rebel Moon - Part Two: The Scargiver,1107
Rebel Moon - Part Two: The Scargiver,8365
Rebel Moon - Part Two: The Scargiver,5092
Rebel Moon - Part Two: The Scargiver,3601
The Gentlemen,6814
The Gentlemen,4800
The Gentlemen,7684
The Gentlemen,9224
Kung Fu Panda 4,391
Kung Fu Panda 4,3828
Kung Fu Panda 4,553
Kung Fu Panda 4,4704
Kung Fu Panda 4,2733
The Zone of Interest,4675
The Zone of Interest,2796
The Zone of Interest,2634
The Zone of Interest,1003
The Godfather,6155
The Godfather,191
The Godfather,1541
The Godfather,1964
Immaculate,234
Immaculate,4555
Immaculate,4632
Immaculate,8150
Planet of the Apes,5610
Planet of the Apes,6037
Planet of the Apes,4
Planet of the Apes,7008
Barbie,279
Barbie,7574
Barbie,9660
Barbie,6837
Titanic,4664
Titanic,5730
Titanic,2001
Titanic,3454
In the Land of Saints & Sinners,1913
In the Land of Saints & Sinners,2886
In the Land of Saints & Sinners,6014
In the Land of Saints & Sinners,5275
Where the Crawdads Sing,3683
Where the Crawdads Sing,9437
Where the Crawdads Sing,648
Where the Crawdads Sing,1094
Unsung Hero,8208
Unsung Hero,3836
Unsung Hero,1320
Unsung Hero,8508
Rebel Moon - Part One: A Child of Fire,1107
Rebel Moon - Part One: A Child of Fire,8365
Rebel Moon - Part One: A Child of Fire,5092
Rebel Moon - Part One: A Child of Fire,3601
Purple Hearts,5544
Purple Hearts,7629
Purple Hearts,1
Purple Hearts,174
Arthur the King,3905
Arthur the King,1352
Arthur the King,950
Arthur the King,1219
X,5247
X,1742
X,3678
X,9841
"Red, White & Royal Blue",8315
"Red, White & Royal Blue",7629
"Red, White & Royal Blue",2760
"Red, White & Royal Blue",8696
The Shawshank Redemption,578
The Shawshank Redemption,2551
The Shawshank Redemption,4328
The Shawshank Redemption,7826
Boy Kills World,8382
Boy Kills World,2456
Boy Kills World,7684
Boy Kills World,6416
Twister,7615
Twister,6867
Twister,8307
Twister,5486
Madame Web,8406
Madame Web,234
Madame Web,5073
Madame Web,8362
Anatomie d'une chute,2796
Anatomie d'une chute,5598
Anatomie d'une chute,4898
Anatomie d'une chute,9360
Interstellar,6814
Interstellar,1440
Interstellar,827
Interstellar,6098
Star Wars,7873
Star Wars,3648
Star Wars,4634
Star Wars,7619
Saltburn,5767
Saltburn,788
Saltburn,822
Saltburn,4171
Once Upon a Time in... Hollywood,4664
Once Upon a Time in... Hollywood,1920
Once Upon a Time in... Hollywood,279
Once Upon a Time in... Hollywood,796
Dark Waters,4387
Dark Waters,1440
Dark Waters,578
Dark Waters,6767
Land of Bad,2368
Land of Bad,6145
Land of Bad,8349
Land of Bad,5847
Wish,9587
Wish,1273
Wish,5063
Wish,5772
Wish,6010
The Equalizer 3,5021
The Equalizer 3,4713
The Equalizer 3,1784
The Equalizer 3,4521
Force of Nature: The Dry 2,4473
Force of Nature: The Dry 2,3679
Force of Nature: The Dry 2,8967
Force of Nature: The Dry 2,1407
Perfect Days,202
Perfect Days,9385
Perfect Days,658
Perfect Days,9829
The Lord of the Rings: The Fellowship of the Ring,9157
The Lord of the Rings: The Fellowship of the Ring,8058
The Lord of the Rings: The Fellowship of the Ring,5858
The Lord of the Rings: The Fellowship of the Ring,4160
Love,2062
Love,6695
Love,4727
Love,5937
Top Gun: Maverick,62
Top Gun: Maverick,580
