Title,Genre_id
The Idea of You,9
The Idea of You,10
The Idea of You,6
Kingdom of the Planet of the Apes,20
Kingdom of the Planet of the Apes,13
Kingdom of the Planet of the Apes,2
Unfrosted,22
Unfrosted,9
Unfrosted,5
The Fall Guy,20
The Fall Guy,9
The Fall Guy,10
Challengers,10
Challengers,6
Challengers,4
Abigail,11
Abigail,14
Civil War,20
Civil War,13
Civil War,14
Anyone But You,9
Anyone But You,6
The Ministry of Ungentlemanly Warfare,20
The Ministry of Ungentlemanly Warfare,10
The Ministry of Ungentlemanly Warfare,7
Dune: Part Two,20
Dune: Part Two,13
Dune: Part Two,10
Furiosa: A Mad Max Saga,20
Furiosa: A Mad Max Saga,13
Furiosa: A Mad Max Saga,2
Gojira -1.0,20
Gojira -1.0,13
Gojira -1.0,10
Ghostbusters: Frozen Empire,13
Ghostbusters: Frozen Empire,9
Ghostbusters: Frozen Empire,8
Love Lies Bleeding,20
Love Lies Bleeding,13
Love Lies Bleeding,3
The Judge,3
The Judge,10
The Judge,1
Late Night with the Devil,11
War for the Planet of the Apes,20
War for the Planet of the Apes,13
War for the Planet of the Apes,10
Monkey Man,20
Monkey Man,14
Tarot,11
Godzilla x Kong: The New Empire,20
Godzilla x Kong: The New Empire,13
Godzilla x Kong: The New Empire,8
Poor Things,9
Poor Things,10
Poor Things,6
Arcadian,20
Arcadian,11
Arcadian,14
Bullet Train,20
Bullet Train,9
Bullet Train,14
Star Wars: Episode I - The Phantom Menace,20
Star Wars: Episode I - The Phantom Menace,13
Star Wars: Episode I - The Phantom Menace,8
Turtles All the Way Down,10
Turtles All the Way Down,6
Rise of the Planet of the Apes,20
Rise of the Planet of the Apes,10
Rise of the Planet of the Apes,2
Oppenheimer,22
Oppenheimer,10
Oppenheimer,5
Planet of the Apes,20
Planet of the Apes,13
Planet of the Apes,2
Dawn of the Planet of the Apes,20
Dawn of the Planet of the Apes,13
Dawn of the Planet of the Apes,10
The Iron Claw,22
The Iron Claw,10
The Iron Claw,4
Back to Black,22
Back to Black,10
Back to Black,21
